ID,PROM1,PROM2
GSM794865,-0.89161587,-1.0955458
GSM794866,-4.8728647,0.8703346
GSM794867,-6.7908907,-1.4860301
GSM794868,-2.2232504,-0.10526466
GSM794869,-1.4879236,-1.2310333
GSM794870,-6.8221297,-1.6345515
GSM794871,-1.5988946,-1.8056555
GSM794872,-2.4175324,-1.1043115
GSM794873,-7.015044,-0.98653126
GSM794874,-2.7547941,-0.7948055
GSM794875,-3.8342252,-1.3069596
GSM794876,-0.25823593,-2.7986875
GSM794877,-6.120439,-2.1747236
GSM794878,-6.077077,-0.07137489
GSM794879,-0.026432991,-1.1688809
GSM794880,-7.874116,-0.9269028
GSM794881,-4.464562,0.80007935
GSM794882,-6.554409,-1.6440244
GSM794883,-1.9051166,-0.4512186
GSM794884,-3.216641,-5.08735
GSM794885,-1.9066172,-1.4431639
GSM794886,-3.661738,-1.4554224
GSM794887,-4.2757654,-3.0110655
GSM794888,2.9144077,-1.0540333
GSM794889,-2.195241,0.68679905
GSM794890,-7.3172145,-5.897629
GSM794891,-2.4280672,-1.467454
GSM794892,-0.841197,-0.54376507
GSM794893,-4.833338,-0.47246552
GSM794894,-7.356139,-2.2321315
GSM794895,-5.56849,-2.041431
GSM794896,-8.0857115,-3.4561348
GSM794897,-7.1451216,-4.8381133
GSM794898,-3.0673027,-0.36425495
GSM794899,-2.5288305,0.5459156
GSM794900,-6.5506654,-0.78120327
GSM794901,-3.3637047,-0.5103884
GSM794902,-7.808958,-1.8327518
GSM794903,-6.4944267,-1.1066313
GSM794904,-0.15872097,-1.7810054
GSM794905,-1.9916129,0.79399776
GSM794906,-5.348447,-3.0282764
GSM794907,-4.3668013,-0.3650999
GSM794908,-3.5602965,-2.12429
GSM794909,-4.515466,-0.9105053
GSM794910,-0.34544277,0.33099556
GSM794911,-2.3206506,-2.9034233
GSM794912,-0.3719797,-4.2724414
GSM794913,0.029275894,-0.27816582
GSM794914,-5.0857143,-1.084372
GSM794915,-1.8372698,-3.2187142
GSM794916,-4.511495,-0.41248417
GSM794917,-8.357583,-4.934647
GSM794918,-5.1388626,-2.3503675
GSM794919,-8.102877,-0.784009
GSM794920,-4.020705,-2.1632042
GSM794921,-5.674407,-1.3388095
GSM794922,-8.186995,-4.126694
GSM794923,-8.22511,-3.9053493
GSM794924,-2.9531364,-0.8781085
GSM794925,-3.6832275,-0.98909473
GSM794926,-7.784407,-4.5014806
GSM794927,-6.362653,-0.5457525
GSM794928,-6.614628,-1.3796167
GSM794929,0.6727457,0.190979
GSM794930,-4.3499813,-0.43820286
GSM794931,-5.8938,-1.8146558
GSM794932,-2.1061788,-1.4048748
GSM794933,-4.454783,-3.059969
GSM794934,-5.265439,-2.109603
GSM794935,-4.0054407,-3.503293
GSM794936,-0.57979107,-0.90417576
GSM794937,-1.2855482,-2.3763847
GSM794938,-7.671166,-0.7121124
GSM794939,-1.4538898,-0.47045898
GSM794940,-0.7980976,-3.049602
GSM794941,-1.2989931,-2.2250133
GSM794942,-3.0726876,1.6748505
GSM794943,-3.6840043,-3.5203075
GSM794944,-2.7283363,-1.2387905
GSM794945,-4.2304025,-3.6927824
GSM794946,-6.4033875,-2.832923
GSM794947,-2.228683,0.17636871
GSM794948,-0.29984283,-1.7572694
GSM794949,-1.365839,-2.1154776
GSM794950,-4.1843734,-3.140286
GSM794951,-8.125331,-3.1215677
GSM794952,-7.3320885,-0.48628426
GSM794953,-3.9853935,-0.699008
GSM794954,-4.958601,0.032603264
GSM794955,-7.4083805,-1.2695589
GSM794956,-4.287694,-2.7132254
GSM794957,-3.8593469,-1.1223345
GSM794958,-2.7982035,-2.3920155
GSM794959,-4.87154,-0.32339954
GSM794960,-0.525733,-3.0279737
GSM794961,-7.4089985,-0.113720894
GSM794962,-2.7173872,0.9910002
GSM794963,-5.011864,0.18813229
GSM794964,-2.453123,-2.2424836
GSM794965,-2.6102586,-2.48274
GSM794966,-1.538763,0.3824234
GSM794967,-1.5301805,-1.4545636
GSM794968,-3.8443737,-3.0311852
GSM794969,-5.206231,-6.7654157
GSM794970,-1.1478958,-1.574626
GSM794971,1.9219627,-3.0172415
GSM794972,-7.164472,-1.0759106
GSM794973,-6.7547455,-4.4826303
GSM794974,-1.2703819,0.76493645
GSM794975,0.5533562,-0.6205673
GSM794976,-5.3071356,-0.36466885
GSM794977,-3.648046,-3.5320272
GSM794978,-1.6773777,-0.39312363
GSM794979,-2.062127,-1.4797087
GSM794980,-7.90207,-3.7059875
GSM794981,-4.997762,-1.7028375
GSM794982,-0.8632412,-2.7096038
GSM794983,-0.01893711,0.5050993
GSM794984,-0.2623539,-3.8716087
GSM794985,-8.056447,-1.4489465
GSM794986,-1.2592583,-1.021061
GSM794987,-3.0476766,-1.343914
GSM794988,-4.662536,-2.87391
GSM794989,-5.944435,0.0972538
GSM794990,-4.7519507,-0.028410912
GSM794991,-7.700889,-2.0204487
GSM794992,-5.1834617,-0.8767948
GSM794993,-5.3449764,-3.5970912
GSM794994,0.17336273,1.1627274
GSM794995,-7.838177,-3.9920368
GSM794996,-7.4388957,-2.5008287
GSM794997,-6.429671,1.24405
GSM794998,-4.264413,-2.9989681
GSM794999,-6.848483,0.18973923
GSM795000,-2.2786226,-4.9853115
GSM795001,-3.7971616,-2.51751
GSM795002,-7.968944,-0.85702133
GSM795003,-0.2633295,-0.6279068
GSM795004,-7.1210384,-1.9925394
GSM795005,-8.465336,-3.7700248
GSM795006,-1.1314907,-3.1896048
GSM795007,-1.5401864,-1.7003641
GSM795008,-8.157656,-2.033935
GSM795009,-5.941168,-0.8500786
GSM795010,-4.4726186,-2.4991245
GSM795011,-4.0602403,-1.1538658
GSM795012,-8.034706,-0.56936455
GSM795013,-5.5700526,-1.7194052
GSM795014,-2.101266,-3.4593277
GSM795015,-6.182755,-1.7373838
GSM795016,-4.77681,-1.8470654
GSM795017,-7.586332,-3.2407556
GSM795018,-1.2010527,-0.34079647
GSM795019,-1.655756,-0.92292786
GSM795020,-7.667845,-5.0466714
GSM795021,-1.2675238,-2.6025486
GSM795022,-5.0190473,-1.3166237
GSM795023,-1.5031085,-0.9049339
GSM795024,-5.7249966,-1.5837011
GSM795025,-7.992266,-3.8511696
GSM795026,-6.173979,-3.1646361
GSM795027,-3.46945,-1.4668293
GSM795028,-3.8875103,-0.84284496
GSM795029,-2.5980701,-0.4686041
GSM795030,-7.8059473,-1.5404716
GSM795031,-8.344372,-2.888402
GSM795032,-4.8177576,-3.6430578
GSM795033,-3.6083589,-4.0117826
GSM795034,-5.4554176,0.31991005
GSM795035,-7.9137173,-2.590507
GSM795036,-5.7935543,-3.3062696
GSM795037,-4.439682,-0.8115072
GSM795038,-3.407578,-1.9192462
GSM795039,-5.797638,0.9250078
GSM795040,-8.034241,-0.5306454
GSM795041,0.23631477,-1.7636442
GSM795042,-5.0627184,-0.8493881
GSM795043,-7.877417,0.118276596
GSM795044,-6.137499,-4.0925703
GSM795045,-7.9531345,-1.1611137
GSM795046,-6.735325,-3.9327126
GSM795047,-4.018711,-3.5247946
GSM795048,-5.4580755,-2.244781
GSM795049,-2.8042068,-2.3366342
GSM795050,-2.248918,0.14319992
GSM795051,-4.9418216,-3.868319
GSM795052,-0.74464035,0.14701843
GSM795053,-6.802584,0.07023525
GSM795054,-2.5081024,-1.2610884
GSM795055,-6.332494,-1.3004789
GSM795056,-6.631364,-2.3989463
GSM795057,-4.5201206,-1.592063
GSM795058,-3.1763296,-1.3548875
GSM795059,-3.4122405,-3.156035
GSM795060,-2.5661926,-0.80906296
GSM795061,-4.4561443,-0.20835304
GSM795062,-1.2653437,-3.144886
GSM795063,-5.3565617,-2.145804
GSM795064,-1.5451307,-4.8011804
GSM795065,-2.4015617,0.9058695
GSM795066,-4.410893,-1.5766172
GSM795067,-2.4972734,-1.3692613
GSM795068,-7.401598,-1.3020201
GSM795069,-3.29072,-0.3840208
GSM795070,-7.8640814,-1.7434359
GSM795071,-2.5281973,-0.89383984
GSM795072,-0.23802757,-2.2936468
GSM795073,-7.416596,-6.9335985
GSM795074,0.6638584,-0.6352482
GSM795075,-4.1398525,0.30210114
GSM795076,-6.5208726,-2.0321035
GSM795077,-0.42535305,-2.3157473
GSM795078,-5.2070174,-3.5857248
GSM795079,-4.4051337,-2.7262015
GSM795080,-2.9518967,-1.8825841
GSM795081,-5.6797323,-1.184977
GSM795082,-4.631639,0.8976526
GSM795083,-3.0813723,-1.7641592
GSM795084,-7.76981,-5.3074837
GSM795085,-6.4420547,-3.011541
GSM795086,-7.323838,1.4410963
GSM795087,-6.9440584,-5.083756
GSM795088,-2.8646436,-1.4221425
GSM795089,-1.3250008,-2.9851804
GSM795090,-0.19551754,0.40044594
GSM795091,-0.1239872,-0.3029728
GSM795092,-3.338069,-0.05574894
GSM795093,-6.601328,-1.1161718
GSM795094,-4.6514072,0.4411726
GSM795095,1.0610952,-0.6482763
GSM795096,-2.3562036,-1.8425899
GSM795097,-7.3062615,-3.7724185
GSM795098,-4.2188425,-1.0334234
GSM795099,0.9614496,0.846982
GSM795100,0.39708042,0.37398148
GSM795101,-1.3586359,-0.65480375
GSM795102,-8.143823,-0.5234337
GSM795103,-6.5640345,0.043646812
GSM795104,0.45109177,-1.0009022
GSM795105,-0.29268646,-2.2074442
GSM795106,3.2979174,1.42097
GSM795107,-5.6467485,-3.7416635
GSM795108,-3.3648987,-3.0663457
GSM795109,-7.5626354,-1.9231324
GSM795110,-0.012022018,-0.93564224
GSM795111,-1.8788567,-2.4613714
GSM795112,-5.781972,-2.883573
GSM795113,-5.395526,-0.53983116
GSM795114,-2.7054052,-4.3616943
GSM795115,-0.9017992,-1.9701204
GSM795116,-2.0976954,-1.826899
GSM795117,-1.0259228,-0.8015318
GSM795118,-0.1691103,-0.6734123
GSM795119,-3.23417,-1.6315403
GSM795120,-8.003025,0.14870644
GSM795121,-4.2953496,-1.6061182
GSM795122,-3.5501084,-4.6295958
GSM795123,-3.1891341,-5.0441856
GSM795124,-4.9132514,-1.4750075
